iter	RMSE
0	4.591447898
1	4.574350731
2	4.55720511
3	4.540895604
4	4.52612083
5	4.515313107
6	4.506640735
7	4.489653308
8	4.474396805
9	4.465255622
10	4.456305879
11	4.447406198
12	4.438404985
13	4.430459505
14	4.417440105
15	4.407765546
16	4.394389856
17	4.387820429
18	4.376162708
19	4.372052614
20	4.369100684
21	4.361081088
22	4.356038605
23	4.346700188
24	4.342162652
25	4.339410639
26	4.335888249
27	4.327647069
28	4.320260501
29	4.307979367
30	4.300696375
31	4.294299764
32	4.290936104
33	4.286189818
34	4.283371253
35	4.277203083
36	4.266838212
37	4.260635363
38	4.256213006
39	4.246860047
40	4.242612098
41	4.236517662
42	4.227302851
43	4.224322406
44	4.221258991
45	4.212214279
46	4.209491718
47	4.199872478
48	4.195326577
49	4.193412678
50	4.189028168
51	4.177769492
52	4.173970608
53	4.165686946
54	4.161683995
55	4.155530852
56	4.151919815
57	4.148786365
58	4.144888575
59	4.143761948
60	4.141616454
61	4.137416422
62	4.135567442
63	4.133410476
64	4.130348496
65	4.128439589
66	4.126247018
67	4.122917202
68	4.120807949
69	4.119398289
70	4.116908763
71	4.114330075
72	4.104352636
73	4.10106305
74	4.099397509
75	4.099141627
76	4.096558218
77	4.08848907
78	4.086649166
79	4.083307153
80	4.082821275
81	4.07479604
82	4.066819607
83	4.066613774
84	4.066364882
85	4.059129348
86	4.058223997
87	4.05128708
88	4.047599383
89	4.047385838
90	4.045343464
91	4.043722092
92	4.041944485
93	4.040743329
94	4.037416363
95	4.035583561
96	4.03320259
97	4.031337869
98	4.029948421
99	4.029782432
100	4.02708991
101	4.026470897
102	4.026313745
103	4.024428569
104	4.020621642
105	4.019116699
106	4.017883054
107	4.015512884
108	4.013694851
109	4.007013102
110	4.000158402
111	3.998515756
112	3.995535098
113	3.989205048
114	3.988589654
115	3.985111175
116	3.983400838
117	3.982947234
118	3.981954892
119	3.981672476
120	3.979598163
121	3.97327656
122	3.972300184
123	3.967963489
124	3.966865754
125	3.966655083
126	3.965720737
127	3.964907433
128	3.961756336
129	3.955948412
130	3.947634318
131	3.945318227
132	3.943120881
133	3.937541064
134	3.936386621
135	3.932936027
136	3.927370214
137	3.925225599
138	3.923861
139	3.923712978
140	3.923043998
141	3.921900949
142	3.916459738
143	3.912610889
144	3.911968217
145	3.910878364
146	3.908823736
147	3.908630174
148	3.908028833
149	3.907520181
150	3.907046256
151	3.905579441
152	3.904558265
153	3.902823677
154	3.902468037
155	3.902173735
156	3.901307683
157	3.900871331
158	3.895005899
159	3.888699308
160	3.887824318
161	3.886600191
162	3.885791332
163	3.88427032
164	3.883396394
165	3.880318985
166	3.878322538
167	3.877561263
168	3.877388805
169	3.874531183
170	3.873784389
171	3.872550116
172	3.871096261
173	3.869711719
174	3.868345863
175	3.867489062
176	3.862008453
177	3.861349546
178	3.859538238
179	3.858784743
180	3.856652535
181	3.854964938
182	3.854568767
183	3.853368772
184	3.851186502
185	3.850751927
186	3.848570756
187	3.843403144
188	3.842075364
189	3.841437069
190	3.840081221
191	3.839075725
192	3.838661367
193	3.833911553
194	3.828687967
195	3.826809797
196	3.826065692
197	3.82427673
198	3.819751846
199	3.818660169
