iter	Passed	Remaining
0	165	32863
1	169	16749
2	173	11382
3	177	8702
4	182	7100
5	186	6037
6	191	5287
7	196	4719
8	201	4270
9	205	3911
10	210	3618
11	215	3371
12	219	3162
13	224	2983
14	228	2823
15	233	2683
16	237	2555
17	241	2446
18	246	2345
19	250	2254
20	254	2171
21	259	2098
22	263	2031
23	268	1969
24	273	1911
25	277	1857
26	282	1807
27	287	1763
28	291	1719
29	295	1677
30	300	1638
31	305	1602
32	309	1566
33	314	1533
34	318	1501
35	322	1470
36	327	1441
37	331	1414
38	336	1389
39	341	1364
40	345	1341
41	350	1319
42	355	1296
43	360	1276
44	364	1256
45	369	1236
46	374	1219
47	379	1202
48	384	1184
49	389	1169
50	394	1153
51	400	1139
52	405	1124
53	409	1108
54	414	1092
55	419	1079
56	424	1064
57	429	1050
58	434	1037
59	438	1023
60	442	1009
61	448	997
62	453	985
63	457	972
64	462	960
65	467	949
66	472	938
67	477	926
68	481	915
69	487	904
70	491	893
71	496	883
72	501	873
73	507	863
74	512	853
75	517	844
76	522	834
77	527	824
78	532	815
79	537	806
80	543	799
81	549	790
82	554	781
83	557	770
84	563	762
85	568	753
86	573	744
87	577	735
88	582	726
89	587	717
90	592	709
91	597	701
92	601	692
93	606	683
94	610	675
95	615	667
96	620	658
97	624	649
98	629	641
99	632	632
100	637	624
101	641	616
102	645	607
103	650	600
104	654	592
105	659	584
106	664	577
107	668	569
108	673	562
109	679	555
110	683	548
111	688	540
112	693	533
113	698	526
114	703	519
115	707	512
116	713	505
117	718	499
118	723	492
119	729	486
120	734	479
121	740	473
122	746	467
123	751	460
124	757	454
125	762	448
126	767	441
127	773	435
128	778	428
129	783	421
130	789	415
131	794	409
132	799	402
133	805	396
134	810	390
135	815	383
136	821	377
137	826	371
138	831	365
139	836	358
140	842	352
141	848	346
142	853	340
143	859	334
144	863	327
145	868	321
146	873	314
147	878	308
148	883	302
149	888	296
150	893	290
151	898	283
152	903	277
153	908	271
154	914	265
155	919	259
156	924	253
157	930	247
158	935	241
159	939	234
160	944	228
161	949	222
162	954	216
163	959	210
164	963	204
165	968	198
166	973	192
167	977	186
168	982	180
169	987	174
170	992	168
171	996	162
172	1001	156
173	1006	150
174	1011	144
175	1015	138
176	1022	132
177	1027	126
178	1032	121
179	1037	115
180	1042	109
181	1047	103
182	1052	97
183	1058	92
184	1064	86
185	1070	80
186	1075	74
187	1080	68
188	1085	63
189	1090	57
190	1095	51
191	1101	45
192	1106	40
193	1110	34
194	1115	28
195	1120	22
196	1125	17
197	1129	11
198	1134	5
199	1139	0
